Index,orig_lang
1336,English
1337,English
1338,English
1339,English
1340,English
1341,English
1342,English
1343,English
1344,English
1345,Korean
1346,English
1347,English
1348,English
1349,Vietnamese
1350,Portuguese
1351,English
1352,English
1353,English
1354,English
1355,English
1356,English
1357,English
1358,Japanese
1359,Korean
1360,English
1361,English
1362,English
1363,English
1364,English
1365,English
1366,English
1367,Japanese
1368,English
1369,Japanese
1370,English
1371,English
1372,English
1373,English
1374,English
1375,English
1376,English
1377,Chinese
1378,English
1379,English
1380,English
1381,English
1382,English
1383,English
1384,English
1385,English
1386,English
1387,English
1388,Korean
1389,English
1390,English
1391,French
1392,English
1393,English
1394,German
1395,English
1396,English
1397,English
1398,English
1399,English
1400,English
1401,English
1402,Spanish
1402,Castilian
1403,English
1404,English
1405,English
1406,English
1407,Japanese
1408,French
1409,Korean
1410,English
1411,English
1412,English
1413,English
1414,English
1415,Norwegian
1416,Spanish
1416,Castilian
1417,English
1418,English
1419,English
1420,English
1421,English
1422,English
1423,English
1424,English
1425,English
1426,English
1427,English
1428,English
1429,Spanish
1429,Castilian
1430,English
1431,Japanese
1432,English
1433,Spanish
1433,Castilian
1434,English
1435,English
1436,English
1437,English
1438,English
1439,English
1440,English
1441,Japanese
1442,English
1443,English
1444,Italian
1445,English
1446,English
1447,English
1448,English
1449,English
1450,English
1451,French
1452,English
1453,English
1454,English
1455,English
1456,English
1457,English
1458,English
1459,English
1460,English
1461,Cantonese
1462,English
1463,English
1464,English
1465,Cantonese
1466,Chinese
1467,English
1468,Japanese
1469,English
1470,English
1471,English
1472,English
1473,English
1474,Japanese
1475,Russian
1476,English
1477,English
1478,English
1479,English
1480,English
1481,English
1482,English
1483,English
1484,Japanese
1485,English
1486,English
1487,English
1488,English
1489,Spanish
1489,Castilian
1490,Japanese
1491,English
1492,English
1493,English
1494,English
1495,Korean
1496,English
1497,English
1498,English
1499,English
1500,English
1501,Japanese
1502,English
1503,English
1504,English
1505,English
1506,English
1507,English
1508,English
1509,French
1510,Japanese
1511,English
1512,English
1513,English
1514,English
1515,English
1516,English
1517,English
1518,English
1519,English
1520,English
1521,English
1522,English
1523,English
1524,English
1525,English
1526,English
1527,English
1528,English
1529,Chinese
1530,Japanese
1531,French
1532,English
1533,English
1534,Japanese
1535,English
1536,English
1537,English
1538,English
1539,Korean
1540,English
1541,English
1542,English
1543,Swedish
1544,English
1545,English
1546,English
1547,English
1548,English
1549,English
1550,English
1551,Spanish
1551,Castilian
1552,English
1553,English
1554,Portuguese
1555,English
1556,English
1557,English
1558,English
1559,English
1560,English
1561,Korean
1562,Chinese
1563,English
1564,English
1565,English
1566,English
1567,English
1568,English
1569,English
1570,Spanish
1570,Castilian
1571,English
1572,English
1573,Japanese
1574,English
1575,English
1576,English
1577,English
1578,English
1579,English
1580,English
1581,English
1582,Portuguese
1583,English
1584,Spanish
1584,Castilian
1585,English
1586,Korean
1587,English
1588,Korean
1589,English
1590,English
1591,English
1592,Japanese
1593,English
1594,English
1595,English
1596,English
1597,English
1598,Spanish
1598,Castilian
1599,English
1600,English
1601,Spanish
1601,Castilian
1602,English
1603,English
1604,English
1605,Hindi
1606,French
1607,French
1608,English
1609,Japanese
1610,English
1611,English
1612,Thai
1613,English
1614,English
1615,English
1616,English
1617,English
1618,German
1619,Spanish
1619,Castilian
1620,English
1621,English
1622,English
1623,English
1624,English
1625,English
1626,English
1627,French
1628,English
1629,English
1630,English
1631,English
1632,English
1633,Japanese
1634,English
1635,English
1636,English
1637,English
1638,English
1639,English
1640,English
1641,French
1642,English
1643,English
1644,English
1645,Hindi
1646,English
1647,Chinese
1648,English
1649,English
1650,English
1651,English
1652,Chinese
1653,English
1654,English
1655,English
1656,English
1657,English
1658,English
1659,Korean
1660,English
1661,English
1662,English
1663,English
1664,English
1665,English
1666,English
1667,English
1668,English
1669,English
1670,English
1671,French
1672,English
1673,English
1674,English
1675,English
1676,English
1677,English
1678,English
1679,English
1680,English
1681,English
1682,English
1683,English
1684,English
1685,Korean
1686,Japanese
1687,English
1688,Korean
1689,English
1690,Japanese
1691,English
1692,English
1693,English
1694,English
1695,English
1696,English
1697,English
1698,English
1699,Spanish
1699,Castilian
1700,Japanese
1701,English
1702,English
1703,English
1704,English
1705,English
1706,English
1707,English
1708,English
1709,English
1710,English
1711,Danish
1712,English
1713,English
1714,English
1715,English
1716,English
1717,English
1718,English
1719,English
1720,English
1721,Japanese
1722,English
1723,English
1724,English
1725,English
1726,Japanese
1727,Korean
1728,Italian
1729,English
1730,Japanese
1731,Chinese
1732,Spanish
1732,Castilian
1733,English
1734,English
1735,English
1736,English
1737,English
1738,English
1739,English
1740,German
1741,Japanese
1742,Cantonese
1743,English
1744,English
