index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
6155,Adventures in Babysitting,24-06-2016,"TV Movie, Comedy, Family", English,82628034.6,9000000,United States,74
6156,Tokyo Godfathers,29-12-2003,"Animation, Drama, Comedy", Japanese,385152856.6,63200000,Japan,79
6157,Sherlock Gnomes,15-03-2018,"Animation, Family, Fantasy, Comedy, Adventure, Mystery", English,97459106,59000000,Australia,56
6158,Avengers: Quantum Encounter,14-07-2022,, English,812667214.2,163600000,United States,50
6159,Superhero Movie,10-04-2008,"Comedy, Action, Science Fiction", English,73026302,35000000,Australia,52
6160,Vampires Suck,26-08-2010,"Horror, Comedy", English,81424988,20000000,Australia,42
6161,Beautiful Vampire,13-07-2018,"Romance, Fantasy, Drama, Family", Korean,871192792.8,165000000,South Korea,71
6162,Starstruck,14-02-2010,"Romance, Comedy, TV Movie, Music", English,891097702.4,79800000,United States,70
6163,Pig,19-08-2021,"Drama, Thriller", English,3889432,44000000,Australia,67
6164,Death Note: The Last Name,03-07-2007,"Fantasy, Thriller, Mystery", Japanese,47919757,17000000,Australia,70
6165,Wolfwalkers,11-12-2020,"Animation, Family, Adventure, Fantasy", English,3241142,11250000,Australia,83
6166,Road to Perdition,10-10-2002,"Crime, Drama, Thriller", English,183354514,80000000,Australia,74
6167,Anonymously Yours,10-12-2021,"Drama, Romance"," Spanish, Castilian",381000857.6,80000000,United States,77
6168,An Extremely Goofy Movie,29-11-2000,"Animation, Family, Comedy", English,467304249.6,100400000,Australia,64
6169,Traffik,20-04-2018,"Horror, Thriller", English,9561231,4000000,United States,62
6170,Invincible,13-09-2006,"Drama, History", English,58501127,40000000,Australia,70
6171,Night Train,13-01-2023,"Action, Thriller, Crime", English,515295729.6,117400000,United States,68
6172,Anchorman: The Legend of Ron Burgundy,21-10-2004,Comedy, English,89476265,25000000,Australia,67
6173,Young Mother 5,03-04-2020,"Drama, Romance", Korean,357494447.2,109800000,South Korea,51
6174,The Seventh Sign,01-04-1988,"Horror, Drama, Thriller", English,18875011,5300000,United States,61
6175,Patriot Games,13-08-1992,"Drama, Action, Thriller, Crime", English,178100000,45000000,Australia,67
6176,Big Boobs Buster,25-04-1990,"Comedy, Action, Science Fiction", Japanese,265791981,142200000,Japan,70
6177,Mom's Friend 6,08-11-2019,Romance, Korean,38139010,15541000,South Korea,30
6178,Vampire Hunter D,03-12-2004,"Animation, Fantasy, Horror", Japanese,604651607,97000000,Australia,66
6179,Between Worlds,21-12-2018,"Action, Mystery, Thriller, Science Fiction", English,496222772,97000000,United States,51
6180,Joy Ride 3,03-06-2014,"Thriller, Horror", English,344127931.8,122400000,United States,55
6181,Hora de Brilhar,29-07-2022,Comedy, Portuguese,175269998.8,264940000,Brazil,0
6182,Rocketman,30-05-2019,"Music, Drama, History", English,192133784,41000000,Australia,73
6183,Maggie Simpson in Playdate with Destiny,06-03-2020,"Animation, Comedy, Family, Romance", English,347974830,151000000,United States,74
6184,Last Action Hero,16-09-1993,"Adventure, Fantasy, Action, Comedy, Family", English,137298489,85000000,Australia,64
6185,Lu-To,15-11-2013,," Spanish, Castilian",279278382.2,159000000,Mexico,53
6186,Pooh's Heffalump Movie,23-06-2005,"Family, Animation, Comedy, Fantasy", English,55686944,20000000,Australia,68
6187,The Piano Teacher,11-07-2002,"Drama, Romance", French,9801375,3000000,Australia,73
6188,"Scooby-Doo! And Krypto, Too!",05-03-2023,"Animation, Family, Comedy, Mystery, Science Fiction", English,862567677.4,111300000,United States,45
6189,Driven,15-08-2001,"Action, Drama", English,54616869,72000000,Australia,52
6190,Red Dawn,10-08-1984,"Action, Thriller, War, Drama", English,48164150,65000000,United States,63
6191,The Calm Beyond,16-10-2020,"Science Fiction, Thriller", Cantonese,891543431.4,135860000,Australia,77
6192,Ayla: The Daughter of War,21-06-2018,"Drama, War, History", Turkish,60006602.2,4172781,South Korea,81
6193,Malcolm & Marie,05-02-2021,"Drama, Romance", English,0,2500000,Australia,71
6194,Delicious Tutor,03-04-2020,Romance, Korean,175269998.8,181600000,South Korea,0
6195,Boy Missing,19-08-2016,"Mystery, Thriller"," Spanish, Castilian",413460560.8,99600000,Spain,65
6196,Monster Hunt 2,16-02-2018,"Adventure, Comedy, Fantasy", Chinese,361682618,17624096.6,China,68
6197,Don't Say a Word,01-11-2001,"Thriller, Mystery", English,100020092,50000000,Australia,62
6198,John Tucker Must Die,07-09-2006,"Comedy, Romance", English,68844775,18000000,Australia,62
6199,Police Story 4: First Strike,17-04-1997,"Action, Adventure, Comedy, Crime, Drama, Thriller", Cantonese,21890845,52610000,Australia,65
6200,Hard Candy,14-01-2005,"Drama, Thriller", English,8267066,950000,United States,68
6201,Cyborg,27-07-1989,"Science Fiction, Action", English,10166459,500000,Australia,56
6202,The Ten Commandments,23-11-1923,Drama, English,85433929,13500000,United States,68
6203,The Ten Commandments,23-11-1923,Drama, English,1051907,10000000,United States,68
6204,Monster High: Scaris City of Frights,03-03-2013,"Animation, Fantasy", English,576291402,129000000,United States,77
6205,A Perfect Murder,15-10-1998,"Crime, Thriller, Drama", English,128038368,60000000,Australia,65
6206,Black Box,06-10-2020,"Horror, Science Fiction, Thriller", English,739546199.4,99000000,Australia,65
6207,Maid in Manhattan,06-03-2003,"Comedy, Drama, Romance", English,163838217,55000000,Australia,61
6208,The Intruder,03-05-2019,Thriller, English,40597401,8000000,United States,61
6209,Sydney White,17-09-2008,Comedy, English,13636339,16500000,Australia,65
6210,Little Children,06-10-2006,"Drama, Romance", English,14121177,14000000,United States,71
6211,"Duck, You Sucker",20-10-1971,Western, Italian,926156825,72900000,Italy,77
6212,Ida Red,05-11-2021,"Crime, Thriller, Drama, Action", English,98150680.4,12400000,United States,62
6213,The Medallion,15-08-2003,"Thriller, Fantasy, Action, Comedy", English,22108977,41000000,United States,56
6214,The Replacements,07-10-2000,Comedy, English,50054511,50000000,Australia,66
6215,Homejack Reverse,05-04-2017,, Japanese,545186295.4,132800000,Japan,44
6216,The Unheard,31-03-2023,"Horror, Mystery, Thriller, Drama", English,872776677.4,134300000,United States,46
6217,Bad Times at the El Royale,25-10-2018,"Thriller, Drama, Mystery, Crime", English,31178942,32000000,Australia,68
6218,Home Again,24-01-2018,"Comedy, Drama, Romance", English,37336874,15000000,Australia,61
6219,Detective Conan: The Phantom of Baker Street,20-04-2002,"Animation, Adventure, Mystery", Japanese,459843093,166000000,Japan,76
6220,The Quiet,25-08-2006,"Drama, Thriller", English,381420,900000,United States,62
6221,Our Father,11-05-2022,"Documentary, Crime", English,540133746,88000000,United States,66
6222,Inhuman Kiss,14-03-2019,"Drama, Horror, Romance", Thai,192806554.6,1200000,Thailand,64
6223,18 Year Old Seungha's Easy Piece of Cake,30-07-2020,"Drama, Romance", Korean,303727772.6,120000000,South Korea,63
6224,The Monkey King 2,22-01-2016,"Action, Adventure, Fantasy", Chinese,193677158,68490000,Australia,58
6225,Get Him to the Greek,17-06-2010,"Adventure, Comedy, Music", English,92994927,40000000,Australia,60
6226,Cool Runnings,03-03-1994,"Comedy, Adventure, Drama", English,155008909,14000000,Australia,70
6227,Bandidas,03-07-2007,"Action, Comedy, Western, Crime", English,19282590,35000000,Australia,60
6228,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,15-01-2013,Comedy, English,2814624.8,3000000,United States,41
6229,Dragonfly,22-02-2002,"Thriller, Fantasy", English,30317425,60000000,United States,65
6230,Gintama,14-07-2017,"Action, Adventure, Comedy, Science Fiction", Japanese,367221429,121600000,Japan,69
6231,Cold Eyes,03-07-2013,"Crime, Action, Thriller", Korean,37795598,15700948,South Korea,75
6232,Stolen,14-09-2012,"Action, Crime, Thriller", English,17967746,35000000,United States,54
6233,8MM,15-04-1999,"Thriller, Crime, Mystery", English,96398826,40000000,Australia,64
6234,Escape from New York,01-10-1981,"Science Fiction, Action", English,25275289,6000000,Australia,71
6235,The One and Only Ivan,21-08-2020,"Family, Comedy, Drama", English,568193955.4,122200000,Australia,75
6236,Beautiful Sisters: Flesh Slave,18-01-1986,, Japanese,730644297.4,84700000,Japan,61
6237,Meet Dave,17-07-2008,"Comedy, Science Fiction, Adventure, Family", English,50648806,60000000,Australia,53
6238,Wonder Woman,03-03-2009,"Action, Adventure, Animation, Fantasy, Science Fiction", English,817691766,150000000,United States,72
6239,The Boondock Saints,22-01-2000,"Action, Thriller, Crime", English,411874,7000000,Australia,72
6240,Ozzy,14-10-2016,"Animation, Family"," Spanish, Castilian",124778311.2,10000000,Spain,60
6241,Dr. Dolittle 2,22-06-2001,"Comedy, Family, Romance, Fantasy", English,176101721,72000000,United States,53
6242,Poltergeist II: The Other Side,07-08-1986,"Horror, Thriller", English,40996665,19000000,Australia,60
6243,Bloodthirsty,23-04-2021,Horror, English,249577615.2,130800000,United States,54
6244,Private School,05-10-1983,"Comedy, Romance", English,641555930.2,49000000,Australia,55
6245,Good People,08-01-2015,"Thriller, Crime, Action", English,1857574,6440000,Denmark,55
6246,Judas and the Black Messiah,11-03-2021,"Drama, History", English,7053949,26000000,Australia,74
6247,My Emptiness and I,28-01-2022,Drama," Spanish, Castilian",244880940,300000,Spain,66
6248,Paths of Glory,26-04-1958,"Drama, War", English,69530233,935000,Australia,83
6249,Monster High: Ghouls Rule,09-10-2012,"Animation, Family", English,494358731.6,98140000,United States,68
6250,The Little Witch,01-02-2018,"Family, Comedy, Drama", German,555154354,89800000,Germany,69
6251,Heathers,19-04-1990,"Comedy, Crime", English,1108462,3000000,Australia,73
6252,The Car: Road to Revenge,08-01-2019,"Action, Horror, Thriller, Science Fiction", English,391456082.6,129000000,United States,66
6253,JJ+E,08-09-2021,"Romance, Drama", Swedish,530578237.6,74600000,United States,56
6254,Allied,23-11-2016,"Action, Drama, War, Romance, Thriller", English,119266661,106000000,Australia,68
6255,Drumline,12-02-2004,"Drama, Romance, Comedy, Music", English,56398875,20000000,Australia,69
6256,The Sky Is Everywhere,11-02-2022,"Drama, Romance, Music", English,727702572.4,116000000,United States,57
6257,Little Monsters,12-09-1990,"Adventure, Fantasy, Comedy, Family", English,793775,7000000,Australia,58
6258,The Pagemaster,23-11-1994,"Family, Fantasy, Science Fiction, Animation", English,13670688,27000000,United States,64
6259,Begin Again,08-06-2014,"Comedy, Music, Romance, Drama", English,67731796,8000000,Australia,73
6260,Jacob's Ladder,23-05-1991,"Drama, Mystery, Horror", English,26118851,25000000,Australia,74
6261,Blue Story,05-05-2020,"Crime, Drama, Romance", English,5750000,1600000,United States,73
6262,The Marriage of Maria Braun,23-03-1979,Drama, German,653988016.4,67800000,Germany,74
6263,Good Water Boarding House 2,17-01-2019,Romance, Korean,38157314,201940000,South Korea,10
6264,Safe House,09-02-2012,"Action, Thriller", English,207884401,85000000,Australia,64
6265,Honey,08-01-2004,"Music, Drama, Romance", English,62646763,18000000,Australia,63
